PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
Isaiah Hicks,NYK,23,18,4,14,13.3,107.8,1.7,13.9,18.5,0.1,9.1,0.2,16.7,4.7,4,2.5,12.7,0.012
Isaiah Taylor,ATL,23,67,18,49,17.4,105.6,1.1,6.6,8.4,0.5,18.4,0.1,10.6,6.1,4.5,4.1,15.1,0.019
Isaiah Thomas,LAL,29,32,15,17,26.9,113.9,1.6,6.2,8.1,0.5,12.2,0.1,4.5,10.8,7.8,8.1,29.8,0.003
Isaiah Whitehead,BKN,23,16,2,14,11.2,103.1,1.4,12.2,15.5,0.5,33.3,0.1,14.3,5.5,2.1,1.9,11.3,0.015
Ish Smith,DET,29,82,39,43,24.9,104.9,2.4,10.7,13.5,0.8,20.4,0.2,10.9,7.5,5.8,5,22.8,0.03
Ivan Rabb,MEM,21,36,6,30,14.3,111.6,2.9,24.9,32.7,0.3,14.1,0.4,28.3,5.9,3.4,4.6,13.6,0.005
Ivica Zubac,LAL,21,43,19,24,9.5,96.2,1.8,18.7,23.3,0.2,13.3,0.3,34.9,3.3,2,2.2,8.5,0.021
J.J. Barea,DAL,33,69,23,46,23.2,108.3,2.7,13.2,17,0.5,15.5,0,2.7,6.8,5.5,7.3,19.9,0.018
JJ Redick,PHI,33,70,45,25,30.2,102.1,2.4,8.2,10.3,0.5,9.8,0.1,2.6,11.7,7.5,6.1,25.6,0.047
JR Smith,CLE,32,80,49,31,28.1,112.8,2.6,10.3,13.5,0.9,20.9,0.1,6.6,10,7.6,6.9,28.5,0.006
JaKarr Sampson,SAC,25,22,6,16,15.6,99.9,2.6,17.9,23.2,0.4,14.3,1,51.2,4.5,3.8,3.8,12.4,0.028
JaMychal Green,MEM,27,55,11,44,28,110.4,5.8,24.5,31,0.6,14.5,0.5,18.7,10.2,6,8.2,24.3,0.014
JaVale McGee,GSW,30,65,45,20,9.5,106.7,1.7,18.8,24.6,0.3,21,0.9,49.6,4.2,2.6,2.9,9.6,0.009
Jabari Bird,BOS,23,13,8,5,8.8,102.3,1,11.1,14,0.2,18.8,0.1,12.5,3.5,1.8,2,8.9,0.013
Jabari Parker,MIL,23,31,16,15,24,109.5,3.5,16.4,22.5,0.8,17.6,0.3,11.9,9.5,7.7,7.2,25.7,0.016
Jack Cooley,SAC,27,7,4,3,12.5,98.7,2.3,21.6,26.7,0.1,8.3,0,0,3.4,4.1,3,10.9,0.024
Jacob Pullen,PHI,28,3,2,1,2,66.7,0,0,0,0,0,0,0,0.7,0.7,0.7,3.3,0.014
Jacob Wiley,BKN,23,5,1,4,6.7,81.5,1.8,23.1,26.5,0.2,20,0,0,2.4,0.4,0.8,5.2,0.026
Jae Crowder,UTA,27,80,52,28,26.1,106.9,2.7,11.5,14.8,0.8,18.1,0.3,11.5,9.2,6.5,6.1,24.7,0.025
Jahlil Okafor,BKN,22,28,7,21,12.6,116.6,2.3,21.3,27.1,0.1,8.1,0.6,56.3,5.5,3.5,2.8,12.7,-0.003
Jake Layman,POR,24,34,21,13,4.7,109.7,0.4,8.8,11.4,0.2,23.1,0.1,44.4,2.1,1.4,0.9,3.8,0.003
Jakob Poeltl,TOR,22,82,59,23,18.6,103.3,2.8,17.3,22.5,0.5,14.8,1.2,52.9,5.7,5,4,17.2,0.026
Jalen Jones,DAL,25,16,3,13,11.3,118.8,1.6,18.4,22.7,0.3,27.8,0.1,5.9,3.7,2.4,3.1,10.4,-0.006
Jamal Crawford,MIN,38,80,45,35,20.7,112.9,1,5.7,7.6,0.5,15.9,0.1,6.6,7.2,5.8,5.6,20.8,0.005
Jamal Murray,DEN,21,81,46,35,31.7,109.7,2.7,9.7,12.3,1,19,0.3,11.5,11.4,7.1,8.3,30.9,0.019
Jameel Warney,DAL,24,3,1,2,8.9,114.5,1.7,20.8,25,0,0,0,0,1.3,0.7,0.7,6.7,0
Jameer Nelson,DET,36,50,25,25,20.3,108.5,1.8,10,13.1,0.5,18.1,0.1,4.7,7.8,5.7,4.5,18.6,0.016
Jamel Artis,ORL,25,15,4,11,18.6,105.1,2.3,13.5,17.1,0.1,5.7,0.2,10,5.5,4.2,4.9,16.1,0.021
James Ennis III,DET,27,72,25,47,22.3,107,2.1,11,14.3,0.6,19,0.3,9.8,7.6,5.5,5.7,20.6,0.021
James Harden,HOU,28,72,59,13,35.4,104.7,4.8,15.3,19.3,1.8,26.8,0.7,19.4,11.9,8.8,9.2,35.7,0.043
James Johnson,MIA,31,73,37,36,26.6,104.9,4.1,16.8,21.6,1,23,0.7,23,8.8,7.1,5.5,24,0.032
James Michael McAdoo,PHI,25,3,1,2,6,101.2,0.7,13.3,16.7,0,0,0.3,100,1.3,0.7,2,6.7,0.01
James Webb III,BKN,24,10,1,9,12,116,1.6,14.4,18.8,0.1,6.7,0,0,4.2,3.6,3.3,12.2,-0.002
James Young,PHI,22,6,4,2,10.2,110.2,0.3,3.6,5,0,0,0,0,4.8,4.3,3.2,7.7,0.005
Jamil Wilson,LAC,27,15,6,9,18.3,104.1,1.9,11.4,14.4,0.3,13.5,0.5,24.2,4.7,4.7,5.5,14.5,0.023
Jared Dudley,PHX,32,48,7,41,14.3,106.7,1.8,14.8,19.4,0.5,22.4,0.2,21.2,4.5,3.1,3.6,12.5,0.014
Jarell Eddie,CHI,26,3,1,2,2.9,101.4,0.3,16.7,16.7,0.3,33.3,0,0,1,0,1,1.3,0.004
Jarell Martin,MEM,24,73,21,52,22.8,107.5,3,16,20.8,0.5,15.4,0.7,27.5,8,5.6,6.2,19.2,0.02
Jarrett Allen,BKN,20,72,25,47,20,107.6,3.4,17.8,23.9,0.4,15.2,1.2,53.3,7,6.3,4.4,20.1,0.017
Jarrett Jack,NYK,34,62,26,36,25,108.2,2.7,12,15.4,0.6,18.3,0.1,2.3,8.6,6.4,6.2,22.3,0.02
Jason Smith,WAS,32,33,15,18,8.6,111.5,1.1,13.5,17.5,0.1,8.3,0.4,44.8,3.5,2.9,2.4,7.6,0.003
Jason Terry,MIL,40,51,27,24,16,105.8,0.8,6.4,8.3,0.8,25.8,0.3,16,5.5,4.1,3.9,16.1,0.017
Jawun Evans,LAC,21,48,24,24,16.2,105,1.6,10.8,14.5,0.8,24.8,0.1,7,5.8,4.6,5.1,14,0.02
Jaylen Brown,BOS,21,70,47,23,30.7,100.3,4,13.9,17.7,1,20.6,0.4,12.3,9.4,6.9,6,27.3,0.054
Jaylen Morris,ATL,22,6,2,4,16.4,105.4,2.3,14.4,18.4,0.3,15.4,0.2,8.3,8.5,5.3,6,13.3,0.02
Jayson Tatum,BOS,20,80,53,27,30.5,100.3,4.4,15.5,19.9,1,21.8,0.7,23.3,9.4,7.2,6.6,27.2,0.053
Jeff Green,CLE,31,78,47,31,23.4,105.4,2.4,10.9,14.3,0.5,15.2,0.4,22.4,7.6,6.7,5,22.3,0.027
Jeff Teague,MIN,29,70,41,29,33,108.7,2.6,9.2,12.1,1.5,25.7,0.3,11.2,10.3,8.8,9.7,30.4,0.024
Jeff Withey,DAL,28,9,2,7,4.4,82.4,1,24.3,28.1,0,0,0.3,50,1.2,1.1,0.6,2.4,0.018
Jerami Grant,OKC,24,81,48,33,20.3,105,2.9,16.2,21.3,0.4,11.1,1,37,6.1,6.2,4.3,17.9,0.024
Jeremy Evans,ATL,30,1,0,1,5.4,142.9,0,0,0,0,0,0,0,5,4,2,6,-0.018
Jeremy Lamb,CHA,26,80,36,44,24.6,107.2,3.4,15.6,19.4,0.8,22.5,0.4,17.7,7.1,5,5.2,22.2,0.022
Jeremy Lin,BKN,29,1,0,1,25.2,120.7,0,0,0,0,0,0,0,13,11,24,36,-0.022
Jerian Grant,CHI,25,74,24,50,22.8,109.3,1.9,9.4,11.7,0.9,26.3,0.1,7.3,8,5.3,5.4,20.5,0.014
Jerryd Bayless,PHI,29,39,21,18,23.7,105.7,1.7,7.6,9.9,0.6,13.4,0.2,5.9,9.9,6,5.2,21,0.026
Jimmy Butler,MIN,28,59,37,22,36.7,105.1,4,12.6,16.4,2,28.2,0.4,11.9,11.3,9.6,9.2,33.5,0.042
Joakim Noah,NYK,33,7,1,6,5.7,88.9,1.1,21.1,22.9,0.3,33.3,0.3,66.7,1.3,0.3,1.7,4.9,0.018
Jodie Meeks,WAS,30,77,41,36,14.5,108.7,1.4,11.8,15.2,0.4,17.2,0.1,5.1,5.2,4,3.2,13.8,0.011
Joe Harris,BKN,26,78,27,51,25.3,108.4,2.7,11.4,14.6,0.4,16.1,0.3,11,9.4,6.7,6,24.4,0.019
Joe Ingles,UTA,30,82,48,34,31.4,102.3,3.9,14,17.6,1.1,19.5,0.2,7.5,10.9,7,6.7,27.5,0.047
Joe Johnson,HOU,36,55,35,20,21.9,105.4,2.9,14.4,18.7,0.3,8.7,0.1,6.1,7.3,5.7,4.9,20.6,0.024
Joe Young,IND,25,53,28,25,10.5,107.4,1,10.2,13.2,0.3,17.5,0,2.7,3.2,2.7,3,10.7,0.009
Joel Bolomboy,MIL,24,6,3,3,6.3,98.5,0.7,13.3,15.4,0.3,22.2,0,0,3,1,1.7,4.7,0.012
Joel Embiid,PHI,24,63,41,22,30.3,99.7,8.7,28.9,37,0.6,13.2,1.8,51.2,10.6,7.5,5.6,24.3,0.054
Joffrey Lauvergne,SAS,26,55,30,25,9.7,107.2,2,23.8,31.8,0.2,9.5,0.1,7,3.7,2.7,2.4,10,0.009
John Collins,ATL,20,74,21,53,24.1,107.1,4.9,22.6,30.3,0.6,15,1.1,48.5,8.9,6.4,6.7,21.4,0.022
John Henson,MIL,27,76,39,37,25.9,105.4,4.8,20.8,26.9,0.6,12.8,1.4,42.6,8.2,6.8,4.7,25.3,0.029
John Holland,CLE,29,24,17,7,7.3,112.5,0.8,11.9,15.9,0.3,28,0.1,12.5,2.9,2,1.7,7.6,0.002
John Wall,WAS,27,41,23,18,34.4,105.4,3.1,9.8,12.9,1.4,24.7,1.1,31,11,9.5,8.9,32.7,0.039
Johnathan Motley,DAL,23,11,1,10,16,105.5,3.2,22.6,28.9,0.3,18.8,0.2,20,5.1,4,4.5,15.1,0.017
Johnny O'Bryant III,CHA,25,36,15,21,10.5,104.9,1.8,19.3,24.2,0.3,12.7,0.2,19.4,2.3,2,2.3,10.2,0.013
Jon Leuer,DET,29,8,5,3,17.1,96.9,3.1,21,26.3,0.1,3.3,0.4,42.9,5.6,3.4,2.3,17,0.038
Jonas Jerebko,UTA,31,74,45,29,15.3,104.2,2.6,19.5,24.4,0.3,12.3,0.2,12.4,5.1,3.4,2.6,13.6,0.019
Jonas Valanciunas,TOR,26,77,56,21,22.4,106,6.2,29.1,36.8,0.4,13.8,0.9,34.3,7.3,6.1,6.2,21.2,0.024
Jonathan Gibson,BOS,30,4,2,2,10,113,0.8,8.3,10,0,0,0,0,3,3,1.5,12.5,0.002
Jonathan Isaac,ORL,20,27,11,16,19.8,101.1,3.1,16,21.1,1.2,35.9,1.1,44.1,7.6,5.6,5.5,18.4,0.033
Jonathon Simmons,ORL,28,69,21,48,29.4,110.9,2.6,9.8,13,0.8,19.3,0.2,7.6,11.2,7.8,7.6,30.6,0.013
Jordan Bell,GSW,23,57,43,14,14.2,103,2.6,18.1,24.3,0.6,24.8,1,36.8,5.2,4.3,4.1,13.6,0.02
Jordan Clarkson,CLE,25,81,40,41,23.3,105.3,2,9.2,12,0.7,19.2,0.1,3.7,8.6,6.8,5.4,22.7,0.027
Jordan Crawford,NOP,29,5,3,2,10.7,128.6,0.4,4.1,5.6,0.2,25,0.2,16.7,5.6,5,4.2,15.2,-0.019
Jordan Mickey,MIA,23,23,15,8,12.4,109.2,2.7,25.3,33.7,0.3,14.3,0.4,32.3,4,3.6,1.8,11,0.008
Jose Calderon,CLE,36,57,33,24,16,108.7,1.2,8.7,11.2,0.5,18.6,0,3,5.2,4,3.6,15.6,0.011
Josh Gray,PHX,24,5,0,5,17.3,118.2,1.6,11.9,14.3,1.6,57.1,0.4,22.2,7,3.4,5.4,16,-0.008
Josh Hart,LAL,23,63,27,36,23.2,107.7,3.5,16,20.9,0.7,21.6,0.3,13,8.6,6.1,5.9,22.9,0.019
Josh Huestis,OKC,26,69,43,26,14.2,102.6,1.7,13.5,17.6,0.2,10,0.6,31.4,4,3.8,3.1,12.1,0.021
Josh Jackson,PHX,21,77,19,58,25.4,110.3,3.3,13.9,18.3,1,27.5,0.5,19.9,9.9,7.4,8.1,25.6,0.014
Josh Magette,ATL,28,18,3,15,12,105.6,0.9,8.8,10.8,0.4,28.6,0.1,11.1,3.5,2.3,2.3,11.9,0.013
Josh McRoberts,DAL,31,2,2,0,2.9,101,0,0,0,0,0,0,0,0,0,0.5,0,0.005
Josh Richardson,MIA,24,81,44,37,33.2,103.6,2.7,9.1,11.5,1.5,28,0.9,24.1,10.5,8.1,7.6,29.5,0.045
Josh Smith,NOP,32,3,2,1,3.9,103.7,0.3,14.3,14.3,0,0,0,0,0.7,0,0,2.7,0.006
Jrue Holiday,NOP,27,81,47,34,36.1,103.2,3.7,10.7,13.9,1.5,24.8,0.8,16.9,12.3,10.3,10.4,34.3,0.051
Juancho Hernangomez,DEN,22,25,15,10,11.1,111.2,1.4,15.6,20.5,0.2,13.6,0.1,12.5,4.2,2.7,3.6,10.6,0.005
Julius Randle,LAL,23,82,35,47,26.7,107.5,5.8,22.7,29.2,0.5,14.2,0.5,21.7,10.4,7.1,7.4,27.2,0.023
Julyan Stone,CHA,29,23,10,13,7.6,101.2,1.2,16.6,20.1,0.2,16.7,0.1,20,2.3,2.1,1.9,7.1,0.012
Justin Anderson,PHI,24,38,27,11,13.7,105.7,1.8,13.7,18,0.4,19.2,0.2,14.3,5.2,3.9,3.1,12.2,0.015
Justin Holiday,CHI,29,72,24,48,31.5,107.5,3.6,12.5,15.2,1.1,22.5,0.4,17.5,9.8,7.1,7.9,28.1,0.028
Justin Jackson,SAC,23,68,21,47,22.2,108.7,2.4,12.2,15.7,0.4,12.4,0.2,9.8,7.4,5,5.8,19.7,0.016
Justin Patton,MIN,20,1,0,1,3.7,93.4,0,0,0,1,50,0,0,4,2,0,0,0.012
Justise Winslow,MIA,22,68,33,35,24.7,102.1,4.5,20.1,25.2,0.8,20.8,0.5,18.2,7.8,5.5,5.8,21.1,0.038
Jusuf Nurkic,POR,23,79,48,31,26.4,102.2,6.6,26.5,33.5,0.8,19.3,1.4,42,8.2,6.6,6.4,23.7,0.041
Kadeem Allen,BOS,25,18,9,9,6,102.5,0.4,7.4,8.6,0.2,17.6,0.1,28.6,2.1,1.1,1.1,5.8,0.009
Karl-Anthony Towns,MIN,22,82,47,35,35.6,107.7,9.4,30.4,39.7,0.8,13,1.4,43.1,10.8,9.3,9.4,33.2,0.03
Kawhi Leonard,SAS,26,9,5,4,23.3,95.2,4,17.5,22,2,42.9,1,40.9,7.7,6.2,6.1,22.2,0.056
Kay Felder,DET,23,16,6,10,8.7,108.7,0.9,12.1,14.9,0.2,14.3,0.1,14.3,3.8,2.6,2.3,8.1,0.006
Kelly Olynyk,MIA,27,76,42,34,23.4,104.5,4.5,22.5,28.5,0.8,20.7,0.5,20.8,7.1,5.4,4.9,21,0.028
Kelly Oubre Jr.,WAS,22,81,43,38,27.5,107.5,3.8,15.5,20.2,1,22.4,0.4,17.1,10.1,8.4,6.5,26.1,0.024
Kemba Walker,CHA,28,80,36,44,34.2,106.3,2.7,8.5,10.5,1.1,24.3,0.3,9,10.8,7.9,7.6,31.5,0.035
Kendrick Perkins,CLE,33,1,0,1,14.5,116.6,1,10,12.5,1,20,0,0,6,5,5,16,-0.003
Kenneth Faried,DEN,28,32,16,16,14.4,108.6,2.7,21.1,25.8,0.4,20.7,0.4,35.1,6.5,3.1,4.3,15.6,0.011
Kent Bazemore,ATL,28,65,19,46,27.5,107.4,3.4,13.9,18.9,1.5,31.2,0.7,25,10.4,8.1,7.4,26.1,0.024
Kentavious Caldwell-Pope,LAL,25,74,31,43,33.2,106,4.4,14.2,18.1,1.4,27.2,0.2,6.3,11.9,9.2,8.9,34.3,0.035
Kevin Durant,GSW,29,68,49,19,34.2,106.8,6.4,19.2,25.6,0.7,13.3,1.8,33.7,13.5,10.1,10.8,34.5,0.033
Kevin Love,CLE,29,59,37,22,28,111.3,7.5,29.9,38.7,0.7,16.9,0.4,20.3,10.3,7.1,6.8,27.8,0.011
Kevon Looney,GSW,22,66,45,21,13.8,103.8,2,15.7,19.9,0.5,26,0.8,41.2,4.8,3.3,4.2,13,0.018
Khem Birch,ORL,25,42,14,28,13.8,104.5,2.6,21.9,27.9,0.4,15.5,0.5,37.5,4.1,2.6,3.3,12,0.016
Khris Middleton,MIL,26,82,44,38,36.4,107.5,4.7,15,19.8,1.5,21.1,0.3,6.2,11.8,9.9,7.5,35.3,0.032
Klay Thompson,GSW,28,73,55,18,34.3,103.7,3.4,10.1,13.2,0.8,13.1,0.5,9,12.9,9.9,10.4,33.1,0.046
Kobi Simmons,MEM,20,32,6,26,20.1,117.5,1.1,6.9,9.1,0.6,18.6,0.2,8.3,8.6,5.3,6.8,19.9,-0.007
Kosta Koufos,SAC,29,71,22,49,19.6,107.1,4.5,26.7,34.5,0.7,21.8,0.5,26.7,5.3,5,4.2,16.9,0.018
Kris Dunn,CHI,24,52,19,33,29.3,110.1,3.8,14.4,17.7,2,40.3,0.5,21.4,10.2,6.7,6.9,28.2,0.016
Kristaps Porzingis,NYK,22,48,22,26,32.4,105.4,5.3,17.3,22.4,0.8,17.5,2.4,57.5,10.6,9.2,7.1,27.5,0.036
Kyle Anderson,SAS,24,74,41,33,26.7,101.4,4.2,17.7,22.4,1.6,33.7,0.8,23.1,8.6,6.6,7.2,25.2,0.043
Kyle Collinsworth,DAL,26,32,9,23,15,107.8,2.3,18.8,23.2,0.5,21.5,0.3,21.4,3.6,3.6,4.4,13.1,0.013
Kyle Korver,CLE,37,73,43,30,21.6,104.2,2.1,10.6,13.7,0.4,13.2,0.4,18.4,6.7,5.8,4.4,19.6,0.028
Kyle Kuzma,LAL,22,77,34,43,31.2,106.4,5.1,17.4,22.7,0.6,13.6,0.4,15.4,11.6,9,8.1,31.9,0.032
Kyle Lowry,TOR,32,78,57,21,32.2,104.1,4.7,15.7,19.9,1.1,22.8,0.2,6.5,10.2,8.6,8.1,30,0.042
Kyle O'Quinn,NYK,28,77,28,49,18,107.3,4.5,27.7,36.3,0.5,18.1,1.3,56.6,6.6,4.8,3.6,14.9,0.016
Kyle Singler,OKC,30,12,5,7,4.9,98,0.8,17.3,21.4,0.1,12.5,0,0,1.6,0.7,1.1,3.3,0.01
Kyrie Irving,BOS,26,60,41,19,32.2,103.4,3.2,10.7,13.9,1.1,23.2,0.3,8.6,10.3,7.5,7.2,29.5,0.044
LaMarcus Aldridge,SAS,32,75,45,30,33.4,102.1,5.2,17.4,21.7,0.6,11.1,1.2,28.4,9.6,8.1,8.4,29,0.051
Lance Stephenson,IND,27,82,48,34,22.6,109.1,4.4,23,29.5,0.6,16,0.2,11.4,7.3,5.5,5.7,21.3,0.015
Lance Thomas,NYK,30,73,25,48,18.5,107.8,1.8,11.1,14.3,0.4,16.2,0.2,11.7,7.2,4.7,4.7,16.7,0.015
Langston Galloway,DET,26,58,28,30,14.9,98.5,1.4,10,12.7,0.6,23.8,0.1,7.1,4.2,3.1,2.5,12.6,0.029
Larry Drew II,NOP,28,10,6,4,7,113.1,0,0,0,0,0,0,0,2.4,2,1.1,6.4,0.001
Larry Nance Jr.,CLE,25,66,32,34,21.5,103.2,4.4,22.6,29.7,1.3,30,0.6,28.6,7.3,6.2,4.8,21.5,0.031
Lauri Markkanen,CHI,21,68,23,45,29.7,110.2,6.3,23.6,28.8,0.6,12.7,0.6,25.5,10.6,6.4,7.4,27.7,0.016
LeBron James,CLE,33,82,50,32,36.9,110.9,7.5,22.5,29.1,1.4,26,0.9,28.9,12.7,9.7,9.1,36.2,0.017
London Perrantes,CLE,23,14,8,6,4.7,124.1,0.2,7,8.6,0.1,25,0.1,50,1.9,1,1.4,5.6,-0.005
Lonzo Ball,LAL,20,52,24,28,34.2,104.1,5.6,17,21.6,1.7,28,0.8,21.8,12.3,9.5,9.3,34.8,0.045
Lorenzo Brown,TOR,27,14,9,5,9.9,88.9,1,11,13.5,0.4,22.7,0,0,2.9,1.8,1.9,7.4,0.03
Lou Williams,LAC,31,79,42,37,32.8,110,2,6.6,8.9,1.1,21.8,0.2,7.5,12.2,9.8,10.7,32.2,0.019
Luc Mbah a Moute,HOU,31,61,52,9,25.6,101.2,2.7,11.3,14.2,1.2,24.5,0.4,16,7.9,6.3,5.6,24.2,0.042
Lucas Nogueira,TOR,25,49,36,13,8.5,96.4,1.4,18.3,24.3,0.5,25.8,0.9,60.6,2.3,2.6,1.7,7.5,0.019
Luis Montero,DET,25,2,1,1,4,100,1,22.2,22.2,0,0,0,0,3,0,1,4,0.007
Luke Babbitt,MIA,28,50,15,35,14.3,108.7,1.8,14,18.5,0.2,6.5,0.1,11.5,4.7,3.4,3.2,12.9,0.011
Luke Kennard,DET,21,73,34,39,20,103,2.1,11.7,14.9,0.6,20.2,0.2,9.6,6.2,4.5,3.4,17.7,0.028
Luke Kornet,NYK,22,20,6,14,16.3,112.8,2.7,18.2,24,0.3,13.3,0.8,50,5.3,5.9,3.7,16.3,0.004
Luol Deng,LAL,33,1,0,1,13.1,110.4,0,0,0,1,50,0,0,2,7,2,14,0.007
Malachi Richardson,TOR,22,26,8,18,12.4,110.5,1.1,11,14.9,0.4,17.2,0,4,3.7,3.1,3.5,10.9,0.006
Malcolm Brogdon,MIL,25,48,25,23,29.9,107.5,2.8,11.2,14.3,0.9,16.6,0.3,9.1,9.5,7.7,5.6,28.5,0.026
Malcolm Delaney,ATL,29,54,16,38,18.8,106.8,1.7,10.4,13.9,0.6,21.7,0.1,7.4,6.6,5.1,4.7,16.3,0.018
Malcolm Miller,TOR,25,15,15,0,8.4,101.4,0.7,9.8,11.8,0.1,4.8,0.1,14.3,3.7,1.8,3.1,7.7,0.014
Malik Beasley,DEN,21,62,34,28,9.4,107.3,0.9,10.7,13.9,0.2,17.2,0.1,12.5,3.9,2.3,2.1,8.8,0.009
Malik Monk,CHA,20,63,26,37,13.6,112.7,0.9,7.7,9.7,0.3,16.5,0.1,14.1,4.5,2.9,3.5,13.8,0.003
Mangok Mathiang,CHA,25,4,3,1,5,96.7,1.8,35,38.9,0.3,50,0,0,1.8,0.5,2.3,4.5,0.011
Manu Ginobili,SAS,40,65,39,26,20,105.9,1.9,10.8,14,0.7,22.6,0.2,10.8,6.7,5.7,5.5,18.3,0.022
MarShon Brooks,MEM,29,7,2,5,27.5,115.7,1.9,8.7,12.1,1.6,26.8,0.4,21.4,8.9,7.3,9.4,27.7,-0.004
Marc Gasol,MEM,33,73,21,52,33,108.2,7,25.6,32.8,0.7,15.6,1.4,43.2,11.5,7.3,10.3,28.1,0.026
Marcin Gortat,WAS,34,82,43,39,25.3,105,5.4,23.4,30.3,0.5,11.7,0.7,32.3,8.7,6.2,5.9,24.2,0.03
Marco Belinelli,PHI,32,80,39,41,24.3,107.2,1.6,7.6,10.1,0.8,20.1,0.2,6.6,8.6,6.5,5.8,22.5,0.022
Marcus Georges-Hunt,MIN,24,42,24,18,5.3,112.6,0.2,5,7,0.1,12.5,0,0,1.5,2,1.4,4.9,0.001
Marcus Morris,BOS,28,54,34,20,26.7,104.8,4.6,18.9,24.2,0.6,16.7,0.2,9,8.4,6.5,6.8,26.3,0.032
Marcus Paige,CHA,24,5,4,1,5.6,110.9,0.8,17.4,19,0,0,0,0,0.6,0.8,2.2,6,0.002
Marcus Smart,BOS,24,54,38,16,29.9,99.4,2.7,9.7,12.4,1.3,27,0.4,15.3,9.7,7.2,6.1,26.4,0.056
Mario Chalmers,MEM,32,66,21,45,21.5,105.3,2.2,11.9,15.7,1.2,30.9,0.2,9.9,8.1,5.4,6.6,18.7,0.025
Mario Hezonja,ORL,23,75,21,54,22.1,109.5,3.2,16.1,21.9,1.1,30.7,0.4,19.4,8.1,6.4,5.7,21.7,0.014
Markel Brown,HOU,26,4,4,0,7.9,121.9,1,12.1,19,0,0,0,0,2.5,3.8,1.5,8.5,-0.007
Markelle Fultz,PHI,20,14,11,3,18.1,96.9,2.3,11.9,15.1,0.9,25,0.3,14.3,5.3,4.8,3.1,16.4,0.041
Markieff Morris,WAS,28,73,37,36,27,106.9,4.6,19.1,25,0.8,17.3,0.5,22.1,9.7,7.2,6.1,26.2,0.025
Marquese Chriss,PHX,20,72,19,53,21.2,109.9,4.4,22.5,29.3,0.7,21,1,41.4,9,5.9,6.3,21.6,0.012
Marquis Teague,MEM,25,3,0,3,24.6,114.7,1.7,8.3,11.9,1.3,33.3,0,0,11,5,7.7,23.3,0
Marreese Speights,ORL,30,52,15,37,13,104.1,2.2,17.7,24,0.2,12.5,0.4,40.7,4.3,3.6,3.5,11.5,0.017
Marshall Plumlee,MIL,25,8,5,3,6.5,90.2,1.6,27.1,32.5,0,0,0.1,25,3.5,1.3,1,7.8,0.021
Marvin Williams,CHA,31,78,33,45,25.7,105.5,3.8,15.5,19.3,0.7,20.4,0.5,17.4,8.6,6.1,5.9,23.9,0.029
Mason Plumlee,DEN,28,74,40,34,19.5,108.8,3.6,20.3,27.1,0.7,21.3,1.1,47.9,8,5,5.3,18.5,0.014
Matt Costello,SAS,24,4,2,2,8.1,103.4,2,30.8,40,0.5,50,0.5,66.7,2,3.8,0.5,5.5,0.011
Matt Williams Jr.,MIA,24,3,1,2,3.8,56.3,0.3,9.1,10,0,0,0,0,0,0.7,0,2,0.027
Matthew Dellavedova,MIL,27,38,21,17,18.7,109.2,1.3,8.6,11.3,0.4,13.5,0,0,5.7,4.1,3.3,18.1,0.012
Maurice Harkless,POR,25,59,36,23,21.4,104.9,2,10.1,12.7,0.8,23.2,0.7,27,7.3,5.1,4.6,18.5,0.025
Maxi Kleber,DAL,26,72,20,52,16.8,105.3,2.3,15.6,19.2,0.4,16,0.7,38.2,4.3,3.8,5,15.1,0.019
Meyers Leonard,POR,26,33,17,16,7.7,114.4,1.8,28,33.7,0.2,18.9,0,0,3.2,1.6,2.2,6.2,0
Michael Beasley,NYK,29,74,24,50,22.3,110.8,4.3,21.4,28.4,0.5,14.9,0.6,24.7,8.1,6.1,5.4,20.6,0.01
Michael Carter-Williams,CHA,26,52,23,29,16.1,107.1,1.9,14.9,18.4,0.8,31.7,0.4,29.5,4.2,2.8,3,14.5,0.014
Michael Kidd-Gilchrist,CHA,24,74,34,40,25,105.8,2.9,12.7,15.6,0.7,19.7,0.4,16.7,8.1,5.4,5.8,24.1,0.027
Mike Conley,MEM,30,12,7,5,31.1,103.1,2.3,8,10.6,1,21.1,0.3,7.1,7.8,9.8,7.2,26.8,0.044
Mike James,NOP,27,36,11,25,19.1,107,2.1,11.9,15.3,0.8,28,0.2,9.2,6.4,5.5,5.5,18.9,0.018
Mike Muscala,ATL,26,53,14,39,20,108.1,3.3,17.1,21.8,0.6,18.9,0.5,29.3,7.2,4.9,5.5,18,0.016
Mike Scott,WAS,29,76,39,37,18.5,107.2,2.6,16.1,20.8,0.3,11,0.1,8.5,6.5,5,4.3,16.7,0.017
Miles Plumlee,ATL,29,55,19,36,16.7,106.6,2.7,18.1,22.9,0.3,14.4,0.5,38,6.9,4.3,5.3,15.6,0.017
Milos Teodosic,LAC,31,45,29,16,25.2,107,2.4,10.2,13.4,0.5,14.3,0.1,5.4,8.9,7.4,8.5,25.2,0.024
Milton Doyle,BKN,24,10,2,8,12.5,102.5,1.5,14.3,17.2,0.6,25,0.2,18.2,4.7,3.5,3.6,14,0.019
